PCLAF,CEP55,DTL,KIF23
9.727110158,7.562631368,7.230321517,8.38399151
10.00142054,7.681600629,7.167994778,8.687626822
9.28594897,7.566422905,6.655184207,8.130439549
9.889130949,8.130770321,8.110615644,8.779428312
9.267741093,7.144255096,6.83958832,7.968800489
7.967919338,3.967733778,5.104261549,5.294784769
8.072078832,6.306027976,6.338322285,7.569625694
9.875933993,8.280892298,7.631112738,9.152810324
9.299848326,6.685898621,6.492356318,7.767486567
8.015612671,6.153599183,5.948200876,8.019550946
8.757806091,6.751244052,6.429888974,7.899007093
7.935828942,6.032160908,6.171461157,7.140208709
9.3823584,7.215402052,7.162168289,8.027906173
9.696796386,7.623161162,7.560617915,8.274681902
10.31423908,8.69496258,8.332730694,8.612389003
9.743666984,8.077912398,7.344081057,7.926469653
9.91454872,7.80916817,7.1360747,7.824406796
9.962273681,8.505337606,7.522262395,8.664091321
8.591042118,6.595188132,6.284367123,7.964573398
8.843858477,6.096434632,6.384261784,7.181154289
8.577775291,6.293219583,6.699552327,7.424666898
8.796260202,6.088602818,6.358819568,7.117378678
9.047406604,7.565186162,7.211530177,7.534965087
9.576626546,7.905744829,7.555471988,8.197917203
8.288755895,6.690090501,6.977501381,6.878574087
9.714351701,7.89102755,7.187051173,8.154100683
9.623050757,7.68052314,6.879230593,8.689604798
8.194996728,6.249678422,6.867654271,6.361413036
9.342690584,7.695755619,6.909969951,8.159517306
9.63554772,8.063182557,7.276215124,8.152936205
10.45854845,8.840839433,7.732543427,9.087560731
9.068859516,7.059376486,7.194323103,8.120604379
9.044779391,6.939114468,5.707514539,6.997204912
8.98101274,7.106574039,6.777219003,8.098415506
8.644986829,6.671784351,6.909299177,7.087113008
9.534512078,6.976615275,6.021959631,7.696219116
9.126247952,7.417257371,7.294941856,8.584392819
9.548893874,7.564044636,7.525873712,8.166153461
9.783969558,7.752006026,7.150114933,8.193292844
9.030027269,6.907773841,6.642500927,9.894904582
9.534926323,7.578234014,7.349643257,8.299921701
10.21098752,8.793206642,7.424488214,9.108130763
9.547157039,7.722929729,6.653202349,8.763222045
8.81287493,7.15441633,6.546388704,8.171757396
9.363776166,7.914639862,6.887804426,8.787808895
8.857124305,6.908049861,6.690766752,7.46901352
9.10206202,7.785302869,6.581216183,8.500536349
9.305422488,7.151609052,6.881208389,7.540857246
9.41393178,7.289045856,6.697419659,8.232352309
8.012969953,6.991685969,6.268009762,7.046747275
10.1626446,8.342904899,7.359296626,8.281061617
9.236808506,7.287084827,7.605569472,7.539476465
7.725024038,5.764015032,5.572653775,7.476807957
7.00065531,4.127919483,4.976817821,4.865087127
8.886103504,8.069981623,8.635445862,7.881321389
7.585968402,5.769185067,5.106442974,6.599246285
9.534765617,7.746927463,7.43826931,8.908109803
8.969042386,7.070087793,6.614508649,8.290633885
9.078336701,7.47847569,7.250061701,8.010586818
9.628997236,7.376036628,7.130725194,7.896260573
10.02156003,7.89758846,7.280012315,8.153312994
8.293123937,6.858568375,5.049909,7.581279714
9.613065846,7.437220267,6.772231477,7.389588
9.786812985,7.826205901,7.06506198,8.201477683
9.044784572,7.250212786,7.238479167,7.852248404
8.817371138,6.752584933,6.453580675,8.042789141
10.09018863,7.752582347,7.353006381,7.911788905
8.650025627,6.903377946,8.265707824,8.408550085
9.208739599,7.194542098,6.980943267,7.812923162
10.06753888,8.659715434,7.921237801,9.489416038
10.06156277,8.312722381,7.411715058,8.447688466
10.70479179,8.587469747,8.637553141,9.033054618
8.026686396,6.081445543,6.38092162,6.832796581
8.346707306,6.37134087,5.970881732,7.674041496
8.875549734,7.255750618,6.980042303,8.621321041
8.985288785,7.231618082,6.382853208,7.644128698
9.011029884,7.037886473,6.723218337,7.551775278
9.504440272,7.365105204,6.547214429,8.147316128
7.950556109,6.394091698,7.322410615,7.117639965
9.009939869,6.691640709,6.999918257,8.900097716
9.513694587,7.731972622,7.374255878,9.559085234
8.346448777,6.567990486,6.112289785,7.895398571
9.791628599,7.321832917,6.585779585,8.408012687
9.510574693,8.055557948,8.332776651,8.369318486
7.957131128,5.657441705,6.438267531,6.762897692
9.383324547,7.219680731,7.209055774,8.525409806
9.588991814,7.559105152,7.193978829,8.802148979
9.971424006,8.387035012,7.522564015,9.002034178
9.46279475,7.668529087,6.562812785,8.381086644
9.130853191,6.876382827,6.851462814,8.247554936
9.800492451,7.696371851,7.650734295,8.108948278
6.724935738,5.686800977,5.214305688,7.24715973
9.775074848,7.78900356,6.86616271,8.583829103
8.727304829,6.994951996,6.402559643,7.682207184
10.3716967,8.5099893,7.36586118,9.040659421
9.326898863,7.320762039,7.214837966,7.826264472
8.994845372,6.639571264,6.443329571,8.076919325
8.043613554,6.540999855,5.794310559,7.322895288
9.959645464,7.158795213,8.271747826,8.213589198
